Height Rank,Prom. Rank,Name,Region,County,Height (m),Prom. (m),Height (ft),Prom. (ft),Topo Map,OS Grid Reference,Classification(§ DoBIH codes)
86,82,Broad Law,Scotland,Scottish Borders,840,653.0,2756,2142,72,NT146235,"Ma,C,Sim,D,CoH,CoU,CoA"
87,107,Carn Mor,Scotland,Highland,829,613.0,2720,2011,33 40,NM903909,"Ma,C,Sim"
88,41,Mweelrea,Ireland,Mayo,814,778.0,2671,2552,37,L789668,"Ma,Sim,Hew,Dil,A,VL,CoH,CoU"
89,33,Askival,Scotland,Highland,812,812.0,2664,2664,39,NM393952,"Ma,C,Sim,SIB"
90,101,Waun Fach,Wales,Powys,811,622.0,2661,2041,161,SO215299,"Ma,Sim,Hew,N"
91,44,Nephin,Ireland,Mayo,806,768.0,2644,2520,23 31,G103079,"Ma,Sim,Hew,Dil,A,VL"
92,35,An Cliseam,Scotland,Na h-Eileanan Siar,799,799.0,2621,2621,13 14,NB154073,"Ma,C,Sim,CoU,CoA,SIB"
93,51,Mount Leinster,Ireland,Carlow/ Wexford,794,726.0,2606,2382,68,S826525,"Ma,Sim,Hew,Dil,A,VL,CoH,CoU"
94,71,Knockmealdown,Ireland,Tipperary/ Waterford,792,678.0,2600,2224,74,S057084,"Ma,Sim,Hew,Dil,A,VL,CoH,CoU"
95,98,Fauscoum,Ireland,Waterford,792,628.0,2598,2060,75,S316105,"Ma,Sim,Hew,Dil,A,VL"
96,39,Beinn an Oir,Scotland,Argyll and Bute,785,785.0,2575,2575,60 61,NR498749,"Ma,C,Sim,SIB"
97,59,Barrclashcame,Ireland,Mayo,772,706.0,2533,2316,37,L849695,"Ma,Sim,Hew,Dil,A,VL"
98,78,Dun da Ghaoithe,Scotland,Argyll and Bute,766,659.0,2513,2162,49,NM672362,"Ma,C,Sim"
99‡,112,Ben Loyal,Scotland,Highland,764,609.0,2507,1998,10,NC578488,"Ma,C,Sim"
100,94,Croagh Patrick,Ireland,Mayo,764,638.0,2507,2093,30,L905802,"Ma,Sim,Hew,Dil,A,VL"
101,69,Errigal,Ireland,Donegal,751,685.0,2464,2247,01,B928207,"Ma,Sim,Hew,Dil,A,VL,CoH,CoU"
102,81,Ben Mor Coigach,Scotland,Highland,743,655.0,2438,2149,15,NC093042,"Ma,G,Sim"
103,61,Beinn Mhor,Scotland,Argyll and Bute,741,696.0,2431,2283,56,NS107908,"Ma,G,Sim"
104,54,Sgurr na Coinnich,Scotland,Highland,739,714.0,2425,2343,33,NG762222,"Ma,G,Sim"
105,63,Doune Hill,Scotland,Argyll and Bute,734,695.0,2408,2280,56,NS290970,"Ma,G,Sim"
106,62,Beinn na Caillich,Scotland,Highland,732,696.0,2402,2283,32,NG601232,"Ma,G,Sim"
107,70,Binn Bhan,Ireland,Galway,725,682.0,2379,2238,37,L785539,"Ma,Sim,Hew,Dil,A,VL,CoH,CoU"
108,86,Slieve Carr,Ireland,Mayo,721,648.0,2365,2126,23,F914144,"Ma,Sim,Hew,Dil,A,VL"
109,90,Slievenamon,Ireland,Tipperary,721,643.0,2365,2110,67,S297307,"Ma,Sim,Hew,Dil,A,VL"
110,74,The Storr,Scotland,Highland,719,671.0,2359,2201,23,NG495540,"Ma,G,Sim"
111,111,Knockboy,Ireland,Cork/ Kerry,706,610.0,2316,2001,85,W004620,"Ma,Sim,Hew,Dil,A,VL,CoH,CoU"
112,97,Binn idir an Dá Log,Ireland,Galway,702,629.0,2303,2064,37,L888528,"Ma,Sim,Hew,Dil,A,VL"
113,108,Ben Gorm,Ireland,Mayo,700,612.0,2297,2008,37,L861652,"Ma,Sim,Hew,Dil,A,VL"
114‡,116,Keeper Hill,Ireland,Tipperary,694,607.0,2277,1991,59,R823667,"Ma,Sim,Hew,Dil,A,VL"
115,67,Croaghaun,Ireland,Mayo,688,688.0,2257,2257,22 30,F559060,"Ma,Sim,Hew,Dil,A,VL"
116‡,114,Maumtrasna,Ireland,Mayo,682,608.0,2238,1995,38,L961637,"Ma,Sim,Hew,Dil,A,VL"
117‡,117,Cuilcagh,Ireland,Cavan/ Fermanagh,666,605.0,2185,1985,26,H123280,"Ma,Sim,Hew,Dil,A,VL,CoH,CoU"
118,103,SnaefellHighest on the IOM,Isle of Man,Isle of Man,621,621.0,2037,2037,95,SC397880,"Ma,Sim,CoH,CoU,CoA"
119,104,Beinn Mhor,Scotland,Na h-Eileanan Siar,620,620.0,2034,2034,22,NF808310,"Ma,G,Sim,SIB"
120‡,120,Slieve Snaght,Ireland,Donegal,615,600.0,2018,1969,03,C424390,"Ma,Sim,Hew,Dil,A,VL"
